date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:07	9595/9595	---M--	200	added ('OK')	image/jpeg	etag:%2257585302-257b%22	https://www.networkinfrastructure.biz/files/4514/6540/6210/healthSafety2.jpg	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/4514/6540/6210/healthSafety2.jpg	(from https://www.networkinfrastructure.biz/health-safety/)
14:23:07	12563/12563	---M--	200	added ('OK')	image/jpeg	etag:%225758530b-3113%22	https://www.networkinfrastructure.biz/files/2114/6540/6219/healthSafety3.jpg	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/2114/6540/6219/healthSafety3.jpg	(from https://www.networkinfrastructure.biz/health-safety/)
14:23:07	8349/8349	---M--	200	added ('OK')	image/jpeg	etag:%2257585318-209d%22	https://www.networkinfrastructure.biz/files/4214/6540/6232/healthSafety4.jpg	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/4214/6540/6232/healthSafety4.jpg	(from https://www.networkinfrastructure.biz/health-safety/)
14:23:07	11417/11417	---M--	200	added ('OK')	image/jpeg	etag:%2257585320-2c99%22	https://www.networkinfrastructure.biz/files/2214/6540/6240/healthSafety5.jpg	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/2214/6540/6240/healthSafety5.jpg	(from https://www.networkinfrastructure.biz/health-safety/)
14:23:07	10936/10936	---M--	200	added ('OK')	image/gif	etag:%2257585332-2ab8%22	https://www.networkinfrastructure.biz/files/2114/6540/6258/safetyPartners.gif	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/2114/6540/6258/safetyPartners.gif	(from https://www.networkinfrastructure.biz/health-safety/)
14:23:08	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:24:01%20GMT	https://www.networkinfrastructure.biz/employment/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/employment/favicon.ico	(from https://www.networkinfrastructure.biz/employment/)
14:23:08	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:24:01%20GMT	https://www.networkinfrastructure.biz/training-academy/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/training-academy/favicon.ico	(from https://www.networkinfrastructure.biz/training-academy/)
14:23:08	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:24:02%20GMT	https://www.networkinfrastructure.biz/news/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/news/favicon.ico	(from https://www.networkinfrastructure.biz/news/)
14:23:09	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:24:02%20GMT	https://www.networkinfrastructure.biz/projects/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/projects/favicon.ico	(from https://www.networkinfrastructure.biz/projects/)
14:23:09	367/367	---M--	200	added ('OK')	text/css	etag:%2216f-534c97d313140%22	https://www.networkinfrastructure.biz/packages/custom_contact_form/blocks/custom_contact_form/view.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/custom_contact_form/blocks/custom_contact_form/view.css	(from https://www.networkinfrastructure.biz/contact-us/)
14:23:09	2161/2161	---M--	200	added ('OK')	application/javascript	etag:%22575874d9-871%22	https://www.networkinfrastructure.biz/packages/custom_contact_form/blocks/custom_contact_form/js/jquery.placeholder.min.js	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/custom_contact_form/blocks/custom_contact_form/js/jquery.placeholder.min.js	(from https://www.networkinfrastructure.biz/contact-us/)
14:23:10	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:24:03%20GMT	https://www.networkinfrastructure.biz/contact-us/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/contact-us/favicon.ico	(from https://www.networkinfrastructure.biz/contact-us/)
14:23:10	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:24:03%20GMT	https://www.networkinfrastructure.biz/about-us/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/about-us/favicon.ico	(from https://www.networkinfrastructure.biz/about-us/)
